Feb 08 12:00:36 kingtaco|work	>>>>> BEGIN LOGGING
Feb 08 14:06:41 kingtaco|work	manifest signing
Feb 08 14:06:49 Jokey	k'
Feb 08 14:06:51 kloeri	robbat2 needs to finish his tree signing stuff
Feb 08 14:06:52 robbat2	if I finish the stuff on it before then
Feb 08 14:07:08 kingtaco|work	last I heard people didn't want to do it because of lack of gpg-agent
Feb 08 14:07:13 kingtaco|work	but that's no longer the case
Feb 08 14:07:27 kloeri	looked fairly good the stuff I saw a few weeks ago though
Feb 08 14:07:27 Jokey	gpg-agent/keychain ++
Feb 08 14:07:36 Flameeyes	fwiw, zmedico also told me how to increase the timeout of gpg-agent, making its use even more practical
Feb 08 14:07:41 kingtaco|work	I'm using gpg-agent with my own "keychain"
Feb 08 14:07:52 Flameeyes	[not that I wasn't using signing before too]
Feb 08 14:08:15 kingtaco|work	ok, a topic for next month then
Feb 08 14:08:20 kingtaco|work	anything else?
Feb 08 14:08:57 kingtaco|work	speak now or wait 28 days ...
Feb 08 14:09:01 Flameeyes	a second
Feb 08 14:09:12 Flameeyes	I would like to get rid of the glep about the 4-tuple keywords
Feb 08 14:09:23 Flameeyes	that's glep22
Feb 08 14:09:29 Flameeyes	[had to look up the number]
Feb 08 14:10:40 Flameeyes	last council asked for a new glep to obsolete it, but considering that it has been difficult to address this through a replacement glep (that glep was _never_ put in action as it is written), and that the current status of the tree is already good enough, it might be worth just retire that glep
Feb 08 14:10:48 kingtaco|work	Flameeyes, I don't think anyone has implemented it
Feb 08 14:10:54 kingtaco|work	but lets vote on it next month
Feb 08 14:10:57 Flameeyes	agreed
Feb 08 14:11:02 kloeri	that will have to wait for next month
Feb 08 14:11:11 kloeri	we need a little time to consider it I guess
Feb 08 14:11:13 Flameeyes	kloeri, yes, just saying that I want to bring up that topic :)
Feb 08 14:11:21 Flameeyes	for next month, that is
Feb 08 14:11:21 kloeri	nod
Feb 08 14:11:23 kingtaco|work	ok
Feb 08 14:11:26 kingtaco|work	anything else?
Feb 08 14:11:29 kingtaco|work	3
Feb 08 14:11:32 kingtaco|work	2
Feb 08 14:11:35 kingtaco|work	1
Feb 08 14:11:35 kloeri	we'll probably be happy to dump it though :)
Feb 08 14:11:44 kingtaco|work	>>>>>END MEETING
